"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","194mm","-37mm","top","90.0"
"C2","192mm","-37mm","top","90.0"
"C3","192mm","-41mm","top","90.0"
"C4","194mm","-41mm","top","90.0"
"C7","177mm","-43mm","top","270.0"
"C8","179mm","-43mm","top","270.0"
"C9","183mm","-47mm","top","180.0"
"C10","183mm","-45mm","top","180.0"
"C13","178mm","-37mm","top","180.0"
"C14","178mm","-35mm","top","180.0"
"C15","242mm","-42mm","top","90.0"
"C16","230mm","-40mm","top","270.0"
"C17","227mm","-40mm","top","270.0"
"C18","188mm","-47mm","top","0.0"
"C19","188mm","-45mm","top","0.0"
"C26","212.6mm","-40.25mm","top","0.0"
"C27","213mm","-43mm","top","0.0"
"C30","177mm","-46mm","top","180.0"
"J1","194.5mm","-31.3mm","top","180.0"
"L1","216.4mm","-38.35mm","top","180.0"
"L2","219mm","-36mm","top","180.0"
"L3","219mm","-33mm","top","180.0"
"L4","219mm","-30mm","top","180.0"
"R1","218mm","-46mm","top","0.0"
"R2","216.8mm","-43.95mm","top","0.0"
"R14","197mm","-34mm","top","90.0"
"R15","174mm","-41mm","top","0.0"
"R16","174mm","-39mm","top","0.0"
"U1","236mm","-39mm","top","270.0"
"U2","185.35mm","-39.0329mm","top","180.0"
"LD1","243mm","-36mm","top","180.0"
"R17","243mm","-39mm","top","180.0"
"LOGO1","233.25mm","-28.66mm","top","0.0"
